"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Sep 16 11:45:56 CST 2020","Wed Sep 16 11:45:58 CST 2020","2509","interface.employee_test","test_queryEmployees","TestQueryEmployees","","","test_query_thing",""
"broken","Wed Sep 16 16:11:15 CST 2020","Wed Sep 16 16:11:15 CST 2020","42","interface.workFlow_test","test_thingInspectionFlow","TestThingInspectionWorkFlow","","","test_7[audit_feed_reject]",""
"passed","Thu Sep 17 18:09:32 CST 2020","Thu Sep 17 18:09:32 CST 2020","594","interface.thing_test","test_createThing","TestCreateThing","","","test_1[variable0]",""
"passed","Wed Sep 16 17:05:00 CST 2020","Wed Sep 16 17:05:17 CST 2020","16904","interface.workFlow_test","test_thingMaintanenceFlow","TestThingMaintenanceWorkFlow","","","test_6[update]",""
"passed","Wed Sep 16 12:02:02 CST 2020","Wed Sep 16 12:02:11 CST 2020","8721","interface.workFlow_test","test_thingRepairFlow","TestThingRepairWorkFlow","","","test_12[feed]",""
"passed","Wed Sep 16 12:00:24 CST 2020","Wed Sep 16 12:00:50 CST 2020","25396","interface.workFlow_test","test_thingRepairFlow","TestThingRepairWorkFlow","","","test_11[audit_reject]",""
"passed","Wed Sep 16 11:47:32 CST 2020","Wed Sep 16 11:47:40 CST 2020","7517","interface.sparePart_test","test_updateSparePart","TestUpdateSparePart","","","test_2[variable0]",""
"passed","Wed Sep 16 12:01:10 CST 2020","Wed Sep 16 12:01:33 CST 2020","22391","interface.workFlow_test","test_thingRepairFlow","TestThingRepairWorkFlow","","","test_11[audit_feed_reject]",""
"passed","Wed Sep 16 11:49:07 CST 2020","Wed Sep 16 11:49:24 CST 2020","16257","interface.thingMaintenance_test","test_deleteThingMaintenances","TestDeleteThingMaintenances","","","test_1",""
"passed","Wed Sep 16 11:56:09 CST 2020","Wed Sep 16 11:56:14 CST 2020","4963","interface.workFlow_test","test_thingRepairFlow","TestThingRepairWorkFlow","","","test_7[audit_feed_pass]",""
"failed","Wed Sep 16 11:52:04 CST 2020","Wed Sep 16 11:52:09 CST 2020","5072","interface.thingRepair_test","test_updateThingRepair","TestUpdateThingRepair","","","test_1[variable0]",""
"passed","Wed Sep 16 12:01:51 CST 2020","Wed Sep 16 12:02:02 CST 2020","11212","interface.workFlow_test","test_thingRepairFlow","TestThingRepairWorkFlow","","","test_12[re_submit]",""
"passed","Wed Sep 16 11:59:22 CST 2020","Wed Sep 16 11:59:42 CST 2020","20511","interface.workFlow_test","test_thingRepairFlow","TestThingRepairWorkFlow","","","test_11[re_submit]",""
"passed","Wed Sep 16 17:35:01 CST 2020","Wed Sep 16 17:35:02 CST 2020","567","interface.thingInspection_test","test_createThingInspection","TestCreateThingInspection","","","test_2[variable0]",""
"passed","Wed Sep 16 11:51:05 CST 2020","Wed Sep 16 11:51:21 CST 2020","15958","interface.thingRepair_test","test_exportThingRepairs","TestQueryExportThingRepairs","","","test",""
"passed","Wed Sep 16 11:47:25 CST 2020","Wed Sep 16 11:47:32 CST 2020","6895","interface.sparePart_test","test_updateSparePart","TestUpdateSparePart","","","test_1[variable0]",""
"passed","Wed Sep 16 11:45:52 CST 2020","Wed Sep 16 11:45:52 CST 2020","245","interface.Role_test","test_all_permissions","TestPermission","","","test_all_permission",""
"passed","Wed Sep 16 11:45:53 CST 2020","Wed Sep 16 11:45:53 CST 2020","118","interface.department_test","test_createDepartment","TestCreateDepartment","","","test_1[variable0]",""
"passed","Wed Sep 16 11:46:37 CST 2020","Wed Sep 16 11:46:40 CST 2020","3049","interface.sparePartReceipt_test","test_querySparePartReceipt","TestQuerySparePartReceipt","","","test_query_thing",""
"passed","Wed Sep 16 11:56:19 CST 2020","Wed Sep 16 11:56:27 CST 2020","8901","interface.workFlow_test","test_thingRepairFlow","TestThingRepairWorkFlow","","","test_8[feed]",""
"passed","Wed Sep 16 11:45:54 CST 2020","Wed Sep 16 11:45:55 CST 2020","209","interface.employee_test","test_createEmployee","TestCreateEmployee","","","test_2[variable0]",""
