"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"thingInspectionRule","exportThingInspectionRules","导出三项","0","0","1","0","0"
"thingMaintenance","exportThingMaintenances","导出三项","0","0","1","0","0"
"thingMaintenanceRule","updateThingMaintenanceRule","所有项完整","0","0","1","0","0"
"department","queryDepartments","所有项完整","0","0","1","0","0"
"thingInspectionRule","queryThingInspectionRules","正确查询","0","0","1","0","0"
"thingInspection","deleteThingInspections","删除3个","0","0","1","0","0"
"workflow","SparePartOutBoundWorkFlow","申领->待审核->审核拒绝->拒绝->重新编辑->审核通过->完成","1","0","0","0","0"
"workflow","ThingMaintenanceWorkFlow","待保养--编辑->待保养","0","0","1","0","0"
"thingRepair","createThingRepair","所有项完整","0","0","1","0","0"
"Role","queryRoles","所有项完整","0","0","1","0","0"
"thingInspection","queryThingInspection","正确查询","0","0","1","0","0"
"thingInspectionRule","queryThingInspectionRule","正确查询","0","0","1","0","0"
"thingRepair","deleteThingRepairs","删除3个","0","0","1","0","0"
"workflow","ThingMaintenanceWorkFlow","审核拒绝--再次反馈 循环5次","0","0","1","0","0"
"thingMaintenanceRule","createThingMaintenanceRule","不填写选填项","0","0","1","0","0"
"thingMaintenanceRule","deleteThingMaintenanceRules","删除3个","0","0","1","0","0"
"thing","queryThings","正确查询","0","0","1","0","0"
"sparePartOutBound","createSparePartOutbound","所有项完整","0","0","1","0","0"
"workflow","SparePartOutBoundWorkFlow","待审核中不允许的操作","0","0","1","0","0"
"workflow","ThingInspectionWorkFlow","巡检中->反馈->审核中->审核通过->巡检完成","0","0","1","0","0"
"employee","queryEmployees","正确查询","1","0","0","0","0"
"thing","createThing","所有项完整","0","0","1","0","0"
"sparePart","updateSparePart","不填写选填项","0","0","1","0","0"
"thingMaintenance","deleteThingMaintenances","删除3个","0","0","1","0","0"
"thingRepair","updateThingRepair","所有项完整","1","0","0","0","0"
"thingInspection","createThingInspection","不填写选填项","0","0","1","0","0"
"thingRepair","exportThingRepairs","导出三项","0","0","1","0","0"
"sparePart","updateSparePart","所有项完整","0","0","1","0","0"
"Role","test all Permission","","0","0","1","0","0"
"department","createDepartment","所有项完整","0","0","1","0","0"
"sparePartReceipt","querySparePartReceipt","正确查询","0","0","1","0","0"
"employee","createEmployee","不填写选填项","0","0","1","0","0"
"thingInspection","exportThingInspections","导出三项","0","0","1","0","0"
"thing","importThings","import spare_part success","1","0","0","0","0"
"thingRepair","queryThingRepair","正确查询","0","0","1","0","0"
"thingInspectionRule","deleteThingInspectionRules","删除3个","0","0","1","0","0"
"department","updateDepartment","所有项完整","0","0","1","0","0"
"sparePartReceipt","deleteSparePartReceipts","删除3个","0","0","1","0","0"
"workflow","ThingInspectionWorkFlow","审核拒绝->再次反馈 循环5次","0","0","1","0","0"
"Role","test Permission","","0","0","1","0","0"
"sparePart","createSparePart","不填写选填项","0","0","1","0","0"
"thing","updateThing","所有项完整","0","0","1","0","0"
